이름,name,게임 초기
성춘향,ChunHyang,한양까지 갈 길이 멀어요. 오랜 여정이 될 거 같네요.
,,
,,이곳은 어디인지
,,무슨 일로 귀신이 되었는지
,,누구를 만나고자 하는지
,,
,,
,,
,,음... 그게 말이죠… \n백마산에서 조금 남쪽에 있는 공동묘지 지역이에요.
,,"... 네, 한양에서 좀 더 멀어진 곳이에요."
,,"백마산에서 당신을 빼내는 과정에서, \n음기가 강한 이곳으로 이끌려 오게 되었나 봐요.."
,,"... 뭐, 죽는 것보단 여행길이 멀어진 게 낫죠! \n불평하기 없기예요!"
,,
,,
,,
,,
,,... 제가 죽던 날의 기억은 떠올리고 싶지 않네요.
,,욕심에 눈이 먼 사또에게 죽임을 당했다... \n정도로만 말씀드릴게요.
,,
,,
,,
,,
,,
,,
,,그분은 아주 훌륭한 분이에요!
,,"아주 명석하셔서 큰 뜻을 품으신 분이면서도, \n높고 낮음에 연연치 않고 사람을 대하는 올곧은 분이죠."
,,바라만 보아도 사람 좋게 만드는 분이시지만....
,,전 이제 사람으로서 그분을 볼 순 없게 되었네요...
