이름,name,1스테이지,,,,2스테이지,,,,3스테이지,,,,4스테이지
성춘향,ChunHyang,"산적들이 백성들을 약탈하고 다니는데도, \n이를 해결하지는 못할망정 자기 욕심을 채우는데 \n급급한 사또들도 있어요..!.","Even though bandits are plundering the people, there are some corrupt local officials who are more concerned with fulfilling their own greed than resolving the issue! ",,,김세근 장군님은 왜란 이전부터 왜적의 침입을 예상하고 \n이곳 백마산에서 마을 장정들을 모아 \n군사훈련을 해오셨다고 해요.,"General Kim Sae-geun anticipated the invasion of the enemy since before the Imjin war, so he gathered village volunteers here at Baekma Mountain for military training.",,,태조께선 활솜씨가 매우 뛰어나셨다고 해요.,,,,이 지역에는 옛 백제 시대 왕의 무덤인 왕릉이 있어요.
,,"제가 살던 마을의 변사또라는 놈도, \n왜란 이후의 혼란을 기회 삼아 \n사람들을 수탈하는 아주 못된 놈이었어요.",The village magistrate in the town where I used to live was one of those despicable individuals who took advantage of the chaos after the Imjin War to exploit the people. ,,,"왜란이 일어나자, 장군님은 의병을 이끌고 \n왜군과 수차례 맞서 싸우다 전사하셨어요.","When the war occurred, the general led the militia and fought against the enemy multiple times before falling in battle.",,,"태조께서 고려의 무인이셨던 시절, \n백성들을 괴롭히던 호랑이를 직접 처치하셨다는 전설도 있어요.",,,,도깨비들이 관찰사님의 따님을 납치하고는 그 왕릉으로 향했다고 해요.
,,...암행어사가 한번 내려와서 \n놈에게 혼쭐을 내줬으면 좋겠네요.,It would be great if an secret royal inspector could come and give that scoundrel a taste of his own medicine.,,,장군님 같은 분들 덕에 조선을 지킬 수 있었죠.,It was thanks to people like General Kim that we were able to defend Joseon.,,,"태조의 어진을 모시던 경기전이 전쟁 때 불탄 것과, \n창귀들이 날뛰고 있는 것이 무언가 관련이 있을까요?",,,,왕릉에서 무슨 장난을 치려고 관찰사님의 따님까지 납치해간 걸까요?
,,,,,,,,,,,,,,
,,지역을 둘러보다가 쓸만한 물건들을 발견했어요!,"I found some useful items, some of them are difficult for the bandits to obtain….",,,왜놈들이 숨겨둔 물건들을 발견했어요!,I've discovered items hidden by the enemy!,,,근처 무덤에서 쓸만한 물건을 발견했어요!,,,,도깨비들이 가지고 있던 물건들을 발견했어요!
,,산적들이 구하긴 어려울법한 물건들도 있는데... \n전쟁의 영향일까요?,Could this be due to the impact of the war?,,,행인들에게서 약탈한 물건일까요?,Could they be the stolen belongings of the pedestrians?,,,…창귀들의 원한을 사는 건 아니겠죠?,,,,이 물건들로 어떤 장난을 치려 했던 걸까요?
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"안 그래도 왜란으로 다들 힘들었는데, \n산적이 되어 사람들을 약탈하고 다니다니...","The people have already been suffering due to the war, and it's truly despicable that some individuals have resorted to becoming bandits and plundering others…..",,,"왜란의 영향으로 조선 팔도가 혼란하니, \n북쪽의 오랑캐들이 날뛰기 시작한다는 소문이 있어요.",There are rumors that the northern savage are starting to run rampant as Joseon are in turmoil due to the Imjin war.,,,착호갑사님들은 마을을 습격하는 호랑이들을 전문적으로 사냥하는 분들이에요.,,,,관찰사는 조정에서 파견되어 각 도를 관할하는 중요한 직책이에요.
,,참 못된 놈들이에요!,They are truly wicked individuals.,,,왜란으로도 충분히 끔찍했는데... \n큰일이 아니었으면 좋겠어요.,I hope it's not something major.,,,조선 최강의 총포 사수라고 해도 과언이 아니죠.,,,,그런 분이 병사도 없이 마을을 시찰하시다가 도깨비들의 습격을 받다니...
,,,,,,,,,,그런 분들도 손쓰지 못할 정도의 상황이라면… \n꽤 위험할 수 있겠어요.,,,,전쟁의 영향으로 동원할 수 있는 병사들이 별로 없는 걸까요?
,,,,,,,,,,,,,,
,,이 사람들도 먹고 살기 힘들었겠지만...,While it is true that these individuals may have faced difficulties in their own lives…,,,왜놈들은 검을 다루는데 능숙하다고 해요.,The Japanese are skilled in wielding swords.,,,"이미 한 번 죽은 몸이라 그런지, 창귀들은 고통을 잘 느끼지 못하나 봐요.",,,,"관찰사님이 언급하신 남루한 차림의 선비가, 정말 암행어사가 되신 그분이라면..."
,,그래도 산적질을 하는 건 잘못된 거죠!,but resorting to banditry is still a wrongful act!,,,"이놈들이 비록 패잔병이라고 해도, \n놈들과 싸울 땐 조심하세요.",Be cautious when facing them.,,,아차 하는 사이 놈들에게 포의 될 수도 있으니 조심하세요.,,,,"...부탁이에요, 서둘러서 도깨비들의 두목을 무찔러주세요."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
