산적,,,,,,,,보스1,,,,,,,,보스2,,,,,,,,보스 3,
산적,"험한 꼴 당하기 싫으면, 순순히 가진 거 다 내놔!",Bandit,"If you don't want to get hurt, hand over everything you have!",,,,,산적 두목,거기 멈춰라!,Bandit Boss,Halt right there!,,,,,성춘향,해냈어요!,ChunHyang,We did it!,,,,,,
행인,히익,Passerby,Eek!,,,,,산적 두목,비실해 보이는 선비 놈이 성가시게도 구는군. \n내가 직접 박살 내주마!,Bandit Boss,"So, the pathetic seonbi dares to interfere. I'll personally crush you!",,,,,성춘향,"산적들의 우두머리를 물리쳤으니, \n놈들도 한동안은 사람들을 괴롭히지 못할 거예요.",ChunHyang,"With the defeat of the bandit leader, they won't be able to torment people for a while.",,,,,그래요...,Right... 
행인,아이구머니나!,Passerby,Oh my!,,,,,산적 두목,가지고 있는 건 다 내놔라! \n물론 네놈의 목숨까지도 말이지 흐흐,Bandit Boss,"Hand over everything you have! \nAnd of course, your life as well. Hehe.",,,,,성춘향,"그래요... \n세상이 이렇게 혼란하지 않았더라면, \n이들도 평범한 삶을 살았을지 몰라요...",ChunHyang,"Yes... If the world wasn't so chaotic, maybe they would have led ordinary lives too...",,,,,"세상이 이렇게 혼란하지 않았더라면, \n이들도 평범한 삶을 살았을지 몰라요...","If the world wasn't so chaotic, maybe they would have led ordinary lives too..."
행인,고.. 고맙소!,Passerby,Th... thank you!,,,,,,,,,,,,,,,,,,,,,,
성춘향,"전쟁이 끝난 후, 산적들이 부쩍 늘어났어요.",ChunHyang,"After the war, the number of bandits has increased significantly.",,,,,,,,,,,,,,,,,,,,,그래도... \n이들의 죽음이 아무런 의미가 없는 건 아니에요.,But still... their deaths were not without meaning.
성춘향,그런데 관청에서는 이를 진압할 사람이 없다고 \n손을 놓아버리거나...,ChunHyang,"However, the government officials neglect to suppress them,",,,,,,,,,,,,,,,,,,,,,이들이 살아생전 느꼈던 고통과 사념들...,The pain and regrets they felt in their lives...
성춘향,"심지어 욕심 많은 사또들은, 이런 혼란을 기회 삼아 \n자기 잇속이나 채우고 있어요..!",ChunHyang,or even greedy one take advantage of this chaos to fill their pockets!,,,,,,,,,,,,,,,,,,,,,"... 음의 기운들을 제가 모아서, \n당신의 여정을 돕는 힘으로 삼을 수 있어요.",...the negative energy that I can gather and turn into a power to aid your journey.
성춘향,결국 평범한 사람들만 더욱 힘들어지고 있어요...,ChunHyang,"As a result, ordinary people are struggling even more...",,,,,,,,,,,,,,,,,,,,,"이 힘으로 한양까지 도달해, \n조선의 혼란을 바로잡으시는 거예요..!","With this power, we will reach Hanyang and restore order to Joseon!"
성춘향,...이대로 그냥 지나칠 순 없어요. \n사람들을 괴롭히는 산적들을 몰아내야 해요!,ChunHyang,...We can't just let it go like this. We need to drive out the bandits who are tormenting the people!,,,,,,,,,,,,,,,,,,,,,"이 산적들처럼, 살아남기 위해서 잘못된 길로 \n빠지는 사람들이 다시는 생기지 않도록...","So that people won't fall into the wrong path, like these bandits, just to survive..."
성춘향,저도 최대한 도와드릴게요!,ChunHyang,I will do my best to help too!,,,,,,,,,,,,,,,,,,,,,,
성춘향,"각 지역의 산적들을 전부 몰아내면, \n여정에 필요한 물건들을 찾아드릴 수 있을 거예요.",ChunHyang,"If we can drive out all the bandits in each region, I can find some item we need for our journey.",,,,,,,,,,,,,,,,,,,,,,
