마을,,english,,,,mod,,진입,,english,,,,mod,,보스 조우,,english,,,,mod,,보스전 승리,,,
성춘향,문경새재는 한양과 동래를 잇는 동래로가 지나는 험준한 산길이에요.,ChunHyang,The Mungyeong Saejae is a rugged mountain pass along the Dongrae Road that connects Hanyang and Dongrae.,,,,,성춘향,저 앞에 무언가 있어요..!,ChunHyang,There's something ahead...,,,,,수호신,내 경고를 듣지 않았군.,Guardian,You didn't heed my warning.,,,,,수호신,"그대의 결의, 잘 알았소.",Guardian,"You have shown your determination, and I understand it well."
성춘향,"구미호의 환영 속에서 헤매다가 여기까지 도달하게 되었나 봐요.		",ChunHyang,It seems like we made it here after wandering through the illusion of the Gumiho.,,,,,성춘향,쇠말뚝..? \n근처에 안 좋은 기운이 넘치네요...,ChunHyang,A metal stake? I sense a bad energy nearby...,,,,,수호신,"좋다!\n그렇게도 이 땅을 지나가고 싶다면, 너의 결의를 내게 보여라!",Guardian,"Fine! If you still want to pass through this land, show me your determination!",,,,,수호신,"분노에 눈이 멀어, 훌륭한 선비에게 무례를 저질렀구려.",Guardian,"Blinded by anger, I was rude to a great seonbi like you."
성춘향,워낙 험준해서 나는 새도 넘어가기 힘들다는 의미로 새재라는 이름이 붙었죠..,ChunHyang,"The name ""Saejae"" was given because it is so rugged that even birds have difficulty passing through it.",,,,,성춘향,전쟁 때 왜군들이 조선의 기운을 끊고자 문경새재에 말뚝을 박고 바위를 부쉈다는 소문이 돌았었어요...,ChunHyang,"During the war, there were rumors that the Japanese invaders tried to cut off the energy of Joseon by driving stakes...",,,,,수호신,그리고 증명해라! \n이 땅을 무수히 지나간 입만 산 선비 놈들과 다르다는 것을.,Guardian,Prove to me that you're different from those countless seonbi who merely talk without action.,,,,,수호신,"그대 덕분에 분노를 잠재우고, 이 땅의 폭주하는 기운을 잠재울 수 있게 되었소.",Guardian,"Thanks to you, I was able to calm my rage and subdue the runaway energy of this land."
성춘향,"하지만, 문경새재는 한양으로 향하는 관문 역할을 하는 지역이니만큼, 이곳만 넘어가면 한양까지는 수월하게 도달할 수 있어요!",ChunHyang,"However, This place serves as a gateway to Hanyang, and once you cross this area, you can easily reach Hanyang. ",,,,,???,감히 이곳이 어디인 줄 알고 들어오느냐!,???,"How dare you come here, thinking you can enter this place?",,,,,,,,,,,,,수호신,"전쟁이 이 땅에 남긴 상처를, 그대가 치유한 것이오.",Guardian,You have healed the wounds left by war in this land.
성춘향,"거기다, 과거길에 문경새재를 넘어간 선비는, 경사를 전해 듣고 새처럼 비상하리라는 말도 있어요!",ChunHyang,"Moreover, there is a saying that a seonbi who crosses here will soar like a bird.",,,,,수호신,"왜적들이 이 땅을 노리는 와중에도, 당파를 나눠 서로 싸움질이나 하던 너희 민족들은 이 땅에 들어올 자격이 없다!",Guardian,"Even amidst the invasion of the Japanese, you people, who were divided and fought among yourselves, have no right to enter this land!",,,,,,,,,,,,,수호신,"명심하시오, 가장 무서운 적은 왜군과 같은 외부의 적이 아닌, 탐관오리나 아첨꾼과 같은 내부의 적이오.",Guardian,"Remember, the most fearsome enemies are not external foes but internal enemies."
성춘향,이제 한양으로의 여정길에 끝이 보이네요! \n힘내서 가보자고요!,ChunHyang,"Now, the end of the journey to Hanyang is in sight! Let's stay strong and continue on!",,,,,수호신,"이 땅을 지키는 수호신으로서 말하노니, 당장 이곳을 떠나라.",Guardian,"As the guardian deity protecting this land, I say, leave this place immediately.",,,,,,,,,,,,,수호신,"그대가 한양에 도달하여, 과거시험을 치르고 관직에 오른다면, 이 사실을 명심하길 바라오.",Guardian,"If you reach Hanyang, I hope you will keep this in mind."
,,,,,,,,성춘향,분노에 찬 수호신이라니...,ChunHyang,An enraged guardian...,,,,,,,,,,,,,수호신,"그대가 이 땅을 치유한 것처럼, 이 나라를 치유하는 선비가 되길 빌겠소.",Guardian,"Just as you have healed this land, I pray you become a seonbi who heals the nation."
,,,,,,,,성춘향,"쇠말뚝이 이 땅의 기운을 폭주시키면서, 수호신도 분노에 휩쓸리게 되었나 봐요.",ChunHyang,"Perhaps the metal stake is causing the land's energy to go haywire, and the guardian deity got caught up in anger too...",,,,,,,,,,,,,성춘향,"이제 문경새재를 넘었으니, 한양까지는 얼마 남지 않았어요!",ChunHyang,"Now that we've passed through Moonkyeongsaejae, Hanyang is not far away!"
,,,,,,,,성춘향,"...그리고 사실, 변사또 같은 인간들을 생각해보면, 수호신의 말도 틀린 말은 아니고요...",ChunHyang,"...And to be honest, considering people like Magistrate Byeon, the guardian's words aren't entirely wrong...",,,,,,,,,,,,,성춘향,이제 곧 그분을 뵐 수 있겠네요...,ChunHyang,I will soon be able to meet him...
,,,,,,,,성춘향,"...하지만 백마산에서 의병을 이끌었다는 김세근 장군님이나, 경기전에서 만났던 착호갑사님처럼",ChunHyang,"...But there were also people like General Kim Se-geun, or Chakho Gapsa we met at Gyeonggijeon,",,,,,,,,,,,,,성춘향,"정말 감사드려요... \n당신과 같이 훌륭한 선비라면, 분명히 조선의 혼란을 바로잡을 수 있을 거예요!",ChunHyang,"Thank you so much. If you are a great seonbi like you, I believe you can definitely set things right in Joseon's turmoil!"
